교육과정ID,교육차수ID,차수명,설문ID,설문명,설문유형,문항분류명,사번,No,문항ID,설문문항,점수,응답선택번호,답안내용,기타의견내용,만족도분류,만족도명,강사ID,설문제출시간,주요_감정,감정_강도,감정_분류
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003778,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,재밌게 동기들과 현대제철의 비전을 표현해 볼 수 있어서 좋았습니다.,,,E,과정만족도,0,20250300000000.0,기쁨,0.9362231492996216,긍정
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003755,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,실제 경영층과 대화해볼수있는 좋은 기회였습니다.,,,E,과정만족도,0,20250300000000.0,안심/신뢰,0.9141089916229248,긍정
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003498,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,좋았습니다,,,E,과정만족도,0,20250300000000.0,기쁨,0.9203770160675049,긍정
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003743,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,좋은말씀 감사합니다,,,E,과정만족도,0,20250300000000.0,고마움,0.8871150016784668,긍정
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003738,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,좋았다,,,E,과정만족도,0,20250300000000.0,기쁨,0.9579694271087646,긍정
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003499,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,직장생활을 하며 가져야할 태도에 대해 배울수 있어서 좋았습니다.,,,E,과정만족도,0,20250300000000.0,감동/감탄,0.8667891025543213,긍정
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003744,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,"어떠한 마음 가짐, 어떠한 태도로 일에 임해야 할지 생각해볼 수 있는 좋은 시간이었습니다.",,,E,과정만족도,0,20250300000000.0,감동/감탄,0.8279938101768494,긍정
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003725,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,어떠한 프로세스로 채용이 되는지에 대해서에 대해서 알 수 있어서 유익했습니다.,,,E,과정만족도,0,20250300000000.0,안심/신뢰,0.8521656394004822,긍정
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003700,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,경영 소개 감사합니다,,,E,과정만족도,0,20250300000000.0,고마움,0.8207279443740845,긍정
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003736,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,유익했습니다,,,E,과정만족도,0,20250300000000.0,기쁨,0.8662172555923462,긍정
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003712,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,현업에 적응을 위한 마음가짐을 배울 수 있어 좋았습니다.,,,E,과정만족도,0,20250300000000.0,안심/신뢰,0.8736530542373657,긍정
