교육과정ID,교육차수ID,차수명,설문ID,설문명,설문유형,문항분류명,사번,No,문항ID,설문문항,점수,응답선택번호,답안내용,기타의견내용,만족도분류,만족도명,강사ID,설문제출시간
87394,5211637,Value-Up프로그램(신입),3605,2025년 Value-up프로그램 2일차 설문,,서술형,5003772,37,46054,[2일차 전체] 교육을 수강하신 &#39;소감&#39;을 간략하게 전달 부탁드립니다.,0,업무와 관련해서 전반적인 지식을 쌓아 유익했습니다,,,M,운영만족도,0,2.03E+13
87394,5180504,Value-Up프로그램(신입),3610,2025년 Value-up프로그램 3일차 설문,,서술형,5003778,29,46134,[3일차 전체] 교육을 수강하신 &#39;소감&#39;을 간략하게 전달 부탁드립니다.,0,"한국제빵공사의 문화, 안전, 나의 모습을 되돌아 볼 수 있었습니다.",,,M,운영만족도,0,2.03E+13
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003499,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,직장생활을 하며 가져야할 태도에 대해 배울수 있어서 좋았습니다.,,,E,과정만족도,0,2.03E+13
87394,5211636,Value-Up프로그램(신입),3604,2025년 Value-up프로그램 1일차 설문,,서술형,5003728,22,46012,[1일차] 교육을 수강하신 &#39;소감&#39;을 간략하게 전달 부탁드립니다.,0,즐거웠습니당,,,M,운영만족도,0,2.03E+13
87394,5180504,Value-Up프로그램(신입),3610,2025년 Value-up프로그램 3일차 설문,,서술형,5003703,29,46134,[3일차 전체] 교육을 수강하신 &#39;소감&#39;을 간략하게 전달 부탁드립니다.,0,회사 생활을 위해 필요한 내용과 기업의 노력을 알 수 있게 되었습니다. 감사합니다.,,,M,운영만족도,0,2.03E+13
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003712,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,현업에 적응을 위한 마음가짐을 배울 수 있어 좋았습니다.,,,E,과정만족도,0,2.03E+13
87394,5211639,Value-Up프로그램(신입),3612,2025년 Value-up프로그램 4일차 설문,,서술형,5003772,21,46158,[4일차 전체] 교육을 수강하신 &#39;소감&#39;을 간략하게 전달 부탁드립니다.,0,재밌습니다,,,M,운영만족도,0,2.03E+13
87394,5211636,Value-Up프로그램(신입),3604,2025년 Value-up프로그램 1일차 설문,,서술형,5003731,22,46012,[1일차] 교육을 수강하신 &#39;소감&#39;을 간략하게 전달 부탁드립니다.,0,처음 본 동기들과 빠르게 친해질 수 있는 컨텐츠 편성에 감사드립니다.,,,M,운영만족도,0,2.03E+13
87394,5211640,Value-Up프로그램(신입),3615,2025년 Value-up프로그램 5일차 설문,,서술형,5003723,3,46193,[경영측 특강] 특강 수강 소감을 자유롭개 작성해 주시기 바랍니다.,0,회사에서의 조직원으로서의 역량개발의 필요성과 다양한 경험의 필요성을 느낄 수 있었습니다,,,E,과정만족도,0,2.03E+13
87394,5211637,Value-Up프로그램(신입),3605,2025년 Value-up프로그램 2일차 설문,,서술형,5003773,37,46054,[2일차 전체] 교육을 수강하신 &#39;소감&#39;을 간략하게 전달 부탁드립니다.,0,실장님들 강연이 너무 좋았습니다,,,M,운영만족도,0,2.03E+13
